,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
191,0,messklar,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,2022-11-17,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan Yetiskin,WEA 1 von 3,GE55216197,WEA01,150.0,158.0,Nein,Nein,Ja,"NRO104, (NO)",Nein,5.0,8.4,W,Unbekannt,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,1 der WEA muss auch im Tagbetrieb vermessen werden,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.916758,10.734442,238291.0
192,0,messklar,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,2022-11-17,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan Yetiskin,WEA 2 von 3,GE55216198,WEA03,150.0,158.0,Nein,Nein,Ja,"NRO104, (NO)",Nein,5.0,8.4,W,Unbekannt,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,1 der WEA muss auch im Tagbetrieb vermessen werden,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.914864,10.752692,238291.0
193,0,messklar,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,2022-11-17,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan Yetiskin,WEA 3 von 3,GE55216201,WEA05,161.0,158.0,Nein,Nein,Ja,"NRO104, (NO)",Nein,5.0,8.4,SW,Unbekannt,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,1 der WEA muss auch im Tagbetrieb vermessen werden,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.91055,10.756742,238291.0
194,,,Reußenköge,SEN,Vestas,V112,10390714,SEN V112 Reußenk. (241926),RICFRE,,Vestas Deutschland GmbH,Jannika_Binder,WEA 1 von 1,210159,,94.0,112.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-03-24,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,54.643593,8.853473,241926.0
195,,,Reinbüttel,SIP SWP,German Sustainables,GS-1000 NT,10392418,SIP SWP GS-1000 NT (242119),JORDED,,German Sustainables Gesellschaft für erneuerbare Energiesysteme m.b.H,Hans_Jürgen_Brandt,WEA 1 von 1,,WEA N01,,,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,15.0,E,,,,,,,,Approved,,54.187951,8.923237,242119.0
196,,,Jettenbach,SEN,Enercon,E-138 EP3 E1,10392419,SEN E-138 Jettenbach (242310),IACRUZ,,ENERCON GmbH,Mirko_Martens,WEA 1 von 1,1380357,E138 Jettenbach,131.0,138.0,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,15.0,E,,,,,2023-03-22,,,Approved,,49.519386,7.552497,242310.0
197,,,Hämelhausen,SEN,Vestas,V126,10392511,SEN Hämelhausen V126 (235267),PHISCH,,Vestas Deutschland GmbH,Raphael_Springmann,WEA 1 von 2,V208849,WEA02,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-01-16,,,Approved,file:///A:\___Projekte\10392419_2022 E138 EP1 SEN Jettenbach Mirko Martens ENERCON (Mirko Martens) ,52.7935,9.27775,235267.0
198,,,Hämelhausen,SEN,Vestas,V126,10392511,SEN Hämelhausen V126 (235267),PHISCH,,Vestas Deutschland GmbH,Raphael_Springmann,WEA 2 von 2,V208850,WEA03,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,,52.7978,9.28632,235267.0
199,1,Nein,WP Silberpatweg Aachen,SEN,GE,GE 2.75-120,10392989,SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,IACRUZ,2023-01-11,GE Wind Energy ,Björn Schierenbeck,WEA 1 von 2,GE27171217,WEA16,139.0,120.0,Ja ,Unbekannt ,Unbekannt ,NRO100,Nein,5.0,8.5,W,,,,"Autobahn in unmittelbare Nähe, Messung unbediengt in der Nacht und Wochenende",2023-01-08,,,Approved,a:\___Projekte\10392989_2022 GE 275_120 SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,50.822714,6.028481,242541.0
200,0,Measured,WP Silberpatweg Aachen,SEN,GE,GE 2.75-120,10392989,SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,IACRUZ,2023-01-11,GE Wind Energy ,Björn Schierenbeck,WEA 2 von 2,GE27171218,WEA15,139.0,120.0,Ja ,Unbekannt,Unbekannt,,,,,SW,,,,,2023-01-07,,,Approved,a:\___Projekte\10392989_2022 GE 275_120 SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,50.825267,6.025578,242541.0
202,,,WP Steife Brise,SEN,Nordex,N117,10424395,SEN WP Steife Brise Ing Büro Siefert (Eugen Siefert)\,RICFRE,2023-01-19,Ing Büro Siefert ,Eugen Siefert,WEA 1 von 1,,WEA 05,120.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10424395_2023 N117 SEN WP Steife Brise Ing Büro Siefert (Eugen Siefert) ,54.533323,9.236464,243575.0
203,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 1 von 4,S58217,WEA 01 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,N2,Nein,5.8,9.4,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.055234,9.325254,243369.0
204,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 2 von 4,S58231,WEA 02 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,N3,Nein,5.8,9.7,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05504,9.330431,243369.0
205,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 3 von 4,S58238,WEA 03,84.0,132.0,Unbekannt,Unbekannt,Ja,N3,Nein,6.0,9.9,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.056457,9.335056,243369.0
206,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 4 von 4,S58239,WEA 04,84.0,132.0,Unbekannt,Unbekannt,Ja,N2,Nein,5.8,9.4,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05637,9.340127,243369.0
207,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RICFRE,2023-01-20,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 1 von 4,,WEA 1,91.0,117.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.462585,9.144559,243019.0
208,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RICFRE,2023-01-20,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 2 von 4,,WEA 4,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.460563,9.143211,243019.0
209,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RICFRE,2023-01-20,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 3 von 4,,WEA 5,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.459411,9.148074,243019.0
210,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RICFRE,2023-01-20,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 4 von 4,,WEA 6,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.459036,9.153611,243019.0
211,0,messklar,La Jaille-Yvon FR,SEM,GE,GE 137,10426153,SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy)\,FELPLA,2023-01-27,SPV Parc Eolien ,Camille Dusaucy camille@ttrenergy.com,WEA 1 von 3,,E1,131.4,137.0,Nein,Ja,Nein,"Low Noise Mode C, NO",Ja,4.8,8.3,SW,TTREnergy,TTREnergy,TTREnergy,Wir sollen bei passendem Wetter eine Messung anbieten; PO wird dann vom Kunden kurzfristig erstellt; Bo ist Kontakt bei GE,,,,Approved,file:///A:\___Projekte\10426153_2023 GE 137 SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy) ,47.737872,-0.717983,243330.0
212,0,messklar,La Jaille-Yvon FR,SEM,GE,GE 137,10426153,SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy)\,FELPLA,2023-01-27,SPV Parc Eolien ,Camille Dusaucy camille@ttrenergy.com,WEA 2 von 3,,E2,131.4,137.0,Nein,Ja,Nein,"Low Noise Mode C, NO",Ja,4.8,8.3,SW,TTREnergy,TTREnergy,TTREnergy,Wir sollen bei passendem Wetter eine Messung anbieten; PO wird dann vom Kunden kurzfristig erstellt; Bo ist Kontakt bei GE,,,,Approved,file:///A:\___Projekte\10426153_2023 GE 137 SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy) ,47.737694,-0.713792,243330.0
213,0,messklar,La Jaille-Yvon FR,SEM,GE,GE 137,10426153,SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy)\,FELPLA,2023-01-27,SPV Parc Eolien ,Camille Dusaucy camille@ttrenergy.com,WEA 3 von 3,,E3,131.4,137.0,Nein,Ja,Nein,"Low Noise Mode C, NO",Ja,4.8,8.3,NO,TTREnergy,TTREnergy,TTREnergy,WEA wurde vermessen und ist zu laut,2023-06-01,,,Approved,file:///A:\___Projekte\10426153_2023 GE 137 SEN La Jaille_Yvon FR SPV Parc Eolien (Camille Dusaucy) ,47.731933,-0.720175,243330.0
214,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PHISCH,2023-01-27,Enertrag ,Florian Sommer,WEA 1 von 4,,S3 Siebenhausen 3,100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.700663,12.243606,244088.0
215,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PHISCH,2023-01-27,Enertrag ,Florian Sommer,WEA 2 von 4,,S4 Siebenhausen 4 (WO Wolfen),100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.69775,12.244067,244088.0
216,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PHISCH,2023-01-27,Enertrag ,Florian Sommer,WEA 3 von 4,,S5 Siebenhausen 5,100.0,80.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.702299,12.247563,244088.0
217,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PHISCH,2023-01-27,Enertrag ,Florian Sommer,WEA 4 von 4,,S6 Siebenhausen 6,100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.698215,12.249349,244088.0
218,,,WP Falkenwalde,SEN,GE,GE 4.5 MW,10426438,SEN WP Falkenwalde GE Renewable Energy (Bjoern Schierenbeck)\,ANNJO,2023-01-30,GE Renewable Energy ,Björn Schierenbeck,WEA 1 von 2,55209915,RH E7,161.0,158.0,Unbekannt,Ja,Unbekannt,,,,,,,,,,2022-11-17,2023-03-17,,Approved,file:///A:\___Projekte\10426438_2023 GE 45 MW SEN WP Falkenwalde GE Renewable Energy (Björn Schierenbeck) ,53.2831,14.036204,241686.0
219,,,WP Falkenwalde,SEN,GE,GE 4.5 MW,10426438,SEN WP Falkenwalde GE Renewable Energy (Bjoern Schierenbeck)\,ANNJO,2023-01-30,GE Renewable Energy ,Björn Schierenbeck,WEA 2 von 2,55209916,RH E8,161.0,158.0,Unbekannt,Ja,Unbekannt,,,,,,,,,,2022-11-17,2023-03-17,,Approved,file:///A:\___Projekte\10426438_2023 GE 45 MW SEN WP Falkenwalde GE Renewable Energy (Björn Schierenbeck) ,53.283747,14.030669,241686.0
221,0,Measured,Trebitz,SEN,Vestas,V162 5.6 MW,10428683,SEN V162 Trebitz II (245062),IACRUZ,2023-02-11,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 1 von 2,245074,WEA 02,169.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,2023-07-04,,,Approved,file:///a:\___Projekte\10428683_2023 V162 SEN Trebitz II Notus Energy (Paula Kock)\,52.045248,14.310843,245062.0
222,0,Measured,Trebitz,SEN,Vestas,V162 5.6 MW,10428683,SEN V162 Trebitz II (245062),IACRUZ,2023-02-11,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 2 von 2,245073,WEA 03,169.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,2023-07-04,,,Approved,file:///a:\___Projekte\10428683_2023 V162 SEN Trebitz II Notus Energy (Paula Kock)\,52.04812,14.344659,245062.0
223,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 1 von 9,,WEA-1,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134007,9.030671,244577.0
224,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 2 von 9,,WEA-2,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.137153,9.031791,244577.0
225,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 3 von 9,,WEA-3,122.5,155.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134455,9.036686,244577.0
226,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 4 von 9,,WEA-4,122.5,155.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.132423,9.041061,244577.0
227,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.6-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 5 von 9,,WEA-5,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.135208,9.044385,244577.0
228,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.0-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 6 von 9,,WEA-6,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.135187,9.050507,244577.0
229,,,Nordermeldorf,SEN,Siemens Gamesa,SG 6.0-155,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 7 von 9,,WEA-7,122.5,155.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.132418,9.053764,244577.0
230,,,Nordermeldorf,SEN,Siemens Gamesa,SG 5.0-132,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 8 von 9,,WEA 8,84.0,132.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.130372,9.043998,244577.0
231,,,Nordermeldorf,SEN,Siemens Gamesa,SG 5.0-132,10429130,SEN BWP Nordermeldorf (244577),ULFKOC,2023-02-11,Nordermeldorf-Wind GmbH & Co. KG,Carsten_Nahne Rohde,WEA 9 von 9,,WEA 9,84.0,132.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429130_2023 SG 6.6_155 SEN BWP Nordermeldorf Nordermeldorf Wind GmbH (Carsten_Nahne Rohde)\,54.134719,9.026294,244577.0
232,,,Oldersbek,SEN,Enercon,E115 4.2 MW,10429369,SEN Oldersbek (245163),ULMR,2023-02-09,SNC Wind UG (haftungsbeschränkt) & Co. KG,Thurid Kuhk,WEA 1 von 1,1160115,SNC Wind - WEA 1,92.0,115.7,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429369_2023 E115 SEN WP Oldersbek nttb (Thurid Kuhk)\,54.460067,9.170214,245163.0
233,,,Schantebüll,SEN,Enercon,E138,10429371,SEN WP Schnatebüll (245095),RICFRE,2023-02-10,Windpark Schnatebüll Repowering GmbH & Co. KG,Volker Storm,WEA 1 von 1,1380840,WEA 11 ,110.8,138.25,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429371_2023 E138 SEN WP Schnatebüll Ingbüro Volker Storm (Volker Storm)\,54.758701,8.903209,245095.0
234,,,Braderup,SEN,Vestas,V150,10429372,SEN BWP Braderup (245162),RICFRE,2023-02-08,BWP Braderup-Tinningstedt GmbH & Co KG,Heinz Carstensen,WEA 1 von 1,,WEA 01 Kathal,,,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10429372_2023 V150 SEN WP Braderup_Tinningstedt BWP Braderup_Tinningstedt GmbH (Heinz Carstensen)\,54.821379,8.906042,245162.0
235,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 1 von 7,246036,WEA1 (064),119.0,162.0,Unbekannt,Unbekannt,Ja,"SO2: 102.4 SO5: 99.9 SO2: 103 SO5: 99.6 SO2: 102.7 SO3: 101.3 SO4: 100,5  ",,,,,,,"Andreas & Michael Mohr GbR, Göser Windenergie GbR, Jacobs und Kielholz, Looft und Bröcker GmbH & Co. KG, MAW GmbH & Co. 2. Windkraft KG, Norderwöhrden Poolgesellschaft mbH, Windpark Don Quichote GmbH & Co. KG, Windpark Wischmann GmbH & Co. KG, WKN Windkraft Nord GmbH & Co. Windpark Wöhrden I KG",,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.179294,9.019796,243887.0
236,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 2 von 7,246037,WEA2 (065),119.0,162.0,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.176159,9.014907,243887.0
237,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 3 von 7,246038,WEA3 (066),119.0,162.0,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.176302,9.022735,243887.0
238,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 4 von 7,246039,WEA4 (067),119.0,162.0,Unbekannt ,Unbekannt ,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.173194,9.017588,243887.0
239,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 5 von 7,246040,WEA5 (068),119.0,162.0,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.17304,9.02431,243887.0
240,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 6 von 7,246041,WEA6 (069),119.0,162.0,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.169321,9.022654,243887.0
241,,,Wöhrden,SEN,Vestas,V162-6.2MW,10430212,SEN V162 WP Wöhrden (243887),ANNJO,2023-02-08,Repowering Wöhrden Poolgesellschaft GmbH & Co. KG,Andre Hansen,WEA 7 von 7,246042,WEA7 (070),119.0,162.0,Unbekannt,Unbekannt,Ja,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10430212_2023 V162 SEN WP Woehrden BGZ Fondsverwaltung (Andre Hansen)\,54.165718,9.02057,243887.0
242,,,Albringhausen,SEN,Enercon ,E-160 EP5 E3 / 5560,10430226,SEN 6x E160EP3 Alb (242298),PHISCH,2023-02-09,ENERCON GmbH,Sven Bigalke,WEA 1 von 6,1603213,WP Albringhausen II Repowering WEA 6,166.6,160.0,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,16.0,,,,,,2023-04-13,,,Approved,file:///a:\___Projekte\10430226_2023 E160EP3 SET Albringhausen ENERCON GmbH (Sven Bigalke)\,54.788583,8.795961,242298.0
248,0,Nein,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IACRUZ,2023-02-27,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 1 von 4,,VS214-BM2-4500kW,92.5,115.0,Ja,Unbekannt,Ja,Mode 2,,,,,,,,Genehmigter Mode wird nicht mehr von Vensys nicht verkauft,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.408917,8.938261,241470.0
249,0,Nein,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IACRUZ,2023-02-27,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 2 von 4,,VS215-BM4-2800kW,92.5,115.0,Ja,Unbekannt,Ja,Mode 4,,,,,,,,Genehmigter Mode wird nicht mehr von Vensys nicht verkauft,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.405053,8.937489,241470.0
